raw offset	Play89_2.dmp	Play89_3.dmp	Play89_4.dmp	Play89_5.dmp
00D399E2h:	00	63	5E	67
00D399E4h:	00	4D	FF	65
00D399E6h:	00	61	65	73
00D399E8h:	00	72	FF	32
00D399FCh:	00	49	4A	09
00D4A449h:	00	01	80	27
00D55CA6h:	00	C0	42	3F
00D55CA8h:	00	44	4C	3F
00D62D08h:	32	FF	00	27
00D62D09h:	04	7F	00	05
00D62D13h:	04	FF	00	FE
00D62D15h:	04	FF	00	37
00D62D29h:	04	00	7F	FF
00D62F78h:	00	3D	3C	03
00D62F7Ch:	00	20	42	02
00D62FDAh:	38	40	4C	00
00D6312Ch:	00	4E	4D	33
00D63278h:	00	35	4A	FF
00D63279h:	00	04	FE	FF
00D6327Ah:	00	2E	E8	FF
00D632B5h:	00	08	04	FF
00D632F8h:	00	4C	01	06
00D63316h:	00	09	42	FF
00D63320h:	00	12	3C	FF
00D63322h:	00	4B	38	FF
00D6334Ch:	00	46	31	03
00D63350h:	00	2E	3E	02
00D63380h:	00	34	30	FF
00D63382h:	00	30	41	FF
00D6338Ch:	00	3A	39	FF
00D6338Eh:	00	38	3A	FF
00D637CFh:	00	FF	CB	7F
00D639CAh:	00	04	03	42
00D64F2Ah:	00	EF	EC	94
00D669EEh:	00	02	4D	09
00D669EFh:	00	01	B8	E0
00D66BDEh:	04	7C	F5	00
00D66F3Eh:	48	F5	13	00
00D67010h:	00	4D	2C	F8
00D67011h:	00	FE	FC	BD
00D6703Dh:	00	80	FE	FF
00D67102h:	01	58	11	00
00D67136h:	04	18	01	00
00D79E00h:	00	B7	4E	50
00D79E2Eh:	00	48	70	40
00D79E30h:	00	44	4E	12
00D79E38h:	00	4E	44	E0
00D79E39h:	00	FE	FC	C3
00D79E3Fh:	00	07	AA	FE
00D79E41h:	00	80	FE	04
00D79E49h:	00	40	80	04
00D79E51h:	00	80	40	04
00D79E76h:	00	2E	08	42
00D79E77h:	00	03	79	04
00D79E7Eh:	00	08	2E	38
00D79E7Fh:	00	79	03	04
00D79EEDh:	00	FE	0C	B6
00D7A46Eh:	00	F5	79	3E
00D7A4E6h:	00	03	30	35
00D7A4EAh:	00	17	18	38
00D7A4EEh:	00	79	80	4C
00D7A526h:	00	04	03	3D
00D7A588h:	00	44	01	3B
00D7A710h:	00	4E	4D	03
00D7A714h:	00	4D	4E	54
00D7A833h:	00	7D	75	80
00D7A84Ch:	00	4A	4E	C2
00D7A960h:	00	4A	4E	F5
00D7A962h:	00	C8	A8	B7
00D7A988h:	00	4E	01	F8
00D7A98Dh:	00	80	10	BE
00D7AF96h:	32	20	3D	00
00D7B85Ch:	00	3E	4E	04
00D7B88Ah:	00	38	80	01
00D7B88Ch:	00	41	4A	85
00D7B8B0h:	00	38	4E	06
00D7B95Eh:	00	F8	6E	02
00D7B960h:	00	13	43	D0
00D7B961h:	00	FC	6C	FF
00D7B980h:	00	4D	01	F0
00D7B985h:	00	FE	0C	C0
00D7B98Ch:	4A	00	8E	2D
00D7B98Dh:	FE	00	C2	C0
00D7B9AAh:	00	0B	E0	A7
00D7B9BBh:	00	76	64	80
00D7B9BCh:	00	AF	AE	04
00D7B9F1h:	00	01	FE	02
00D7B9F4h:	00	05	4A	4F
00D7BB86h:	00	01	04	02
00D7BBA6h:	00	B9	04	4D
00D7C498h:	00	2C	A7	09
00D7C620h:	4E	04	00	71
00D7CB76h:	00	D8	C0	0B
00D7CB78h:	00	B6	4E	90
00D7CB7Fh:	00	10	07	80
00D7CB81h:	00	01	80	03
00D7CB96h:	00	F0	68	18
00D7CB99h:	00	FF	FE	02
00D7CBA6h:	00	F8	8A	04
00D7CF8Eh:	00	07	04	C0
00D7CFD2h:	00	52	69	27
00D7CFD5h:	00	08	14	28
00D7CFFCh:	00	AB	4E	24
00D7CFFDh:	00	6B	FE	24
01A29068h:	00	C0	25	60
01A2906Ch:	00	CD	44	68
01A29070h:	00	C0	30	FE
01A29072h:	00	44	50	10
01A29073h:	00	8B	6C	10
01A29078h:	00	45	5F	01
01A2909Eh:	00	01	3A	AD
01A290A0h:	00	20	2F	56
01A290A2h:	00	DC	2F	73
01A290A6h:	00	A8	43	64
01A290AEh:	00	25	73	31
01A290B0h:	00	45	65	44
01A290B2h:	00	01	72	25
01A290C2h:	00	EF	30	44
01A290C3h:	00	BE	04	30
01A290C4h:	00	AD	2F	25
01A290C6h:	00	56	50	41
01A290C8h:	00	73	6C	44
01A290CAh:	00	74	61	25
01A290CCh:	00	64	79	30
01A290CEh:	00	20	38	68
01A290D0h:	00	44	39	74
01A290D2h:	00	25	5F	3A
01A290D4h:	00	31	33	2F
01A290D6h:	00	44	2E	77
01A290D8h:	00	25	44	2E
01A290DAh:	00	32	4D	6C
01A290DCh:	00	44	50	79
01A290E6h:	00	32	0C	2F
01A290E8h:	00	44	17	75
01A290E9h:	00	30	13	72
01A290F2h:	00	30	10	65
01A290F4h:	00	66	18	73
01A290F5h:	00	69	40	2E
01A290F6h:	00	6C	60	68
01A290F7h:	00	65	CC	74
01A290F8h:	00	3A	D1	6D
01A290F9h:	00	2F	18	6C
01A290FAh:	00	2F	66	3F
01A290FBh:	00	2F	8B	57
01A290FCh:	00	43	CD	69
01A290FDh:	00	3A	01	6E
01A29102h:	00	72	0C	3D
01A29104h:	00	2F	20	26
01A29105h:	00	25	03	74
01A2910Eh:	00	25	0C	37
01A29110h:	00	32	1C	31
01A29111h:	00	25	03	32
01A2911Ah:	00	25	0C	41
01A2911Ch:	00	32	21	45
01A2911Dh:	00	25	13	39
01A2912Ah:	00	50	EF	32
01A2912Bh:	00	6C	BE	30
01A2912Ch:	00	61	AD	38
01A2912Dh:	00	79	DE	38
01A2912Eh:	00	38	EF	34
01A2912Fh:	00	39	BE	26
01A29130h:	00	5F	AD	6C
01A29131h:	00	33	DE	61
01A29132h:	00	2E	EF	6E
01A29133h:	00	44	BE	67
01A29134h:	00	4D	AD	3D
01A29135h:	00	50	DE	52
01A2913Ah:	00	10	EF	72
01A2913Ch:	00	02	AD	65
01A29141h:	00	10	DE	64
01A29146h:	00	01	EF	75
01A2914Ah:	00	54	EF	6E
01A2914Ch:	00	16	AD	79
01A2914Dh:	00	1F	DE	52
01A2914Eh:	00	66	EF	61
01A29150h:	00	69	AD	65
01A29152h:	00	6C	EF	31
01A29154h:	00	65	AD	10
01A29156h:	00	3A	EF	02
01A29164h:	00	55	AD	0C
01A29166h:	00	73	EF	17
01A29170h:	00	21	AD	10
01A29172h:	00	32	EF	18
01A29173h:	00	04	BE	40
01A29175h:	00	04	DE	AC
01A29176h:	00	42	EF	76
01A29177h:	00	04	BE	F7
01A29178h:	00	3A	AD	D1
01A29179h:	00	04	DE	8A
01A2917Ah:	00	30	EF	CD
01A2917Bh:	00	04	BE	01
01A29180h:	00	6C	AD	0C
01A29182h:	00	61	EF	20
01A2918Ch:	00	33	AD	0C
01A2918Eh:	00	2E	EF	1C
01A291AAh:	00	10	04	AD
01A291AEh:	00	60	D0	AD
01A291AFh:	00	CC	42	DE
01A291B0h:	00	D1	15	EF
01A291B1h:	00	18	B1	BE
01A291B2h:	00	66	44	AD
01A291BAh:	00	0C	44	4C
01A291BCh:	00	20	CD	04
01A291E8h:	00	AD	20	60
01A291F8h:	00	AD	61	01
01A291FAh:	00	EF	01	20
01A2921Ch:	00	AD	31	EF
01A2921Dh:	00	DE	25	BE
01A2921Eh:	00	EF	44	AD
01A2921Fh:	00	BE	30	DE
01A29220h:	00	AD	25	56
01A29221h:	00	DE	42	69
01A29222h:	00	EF	32	73
01A29223h:	00	BE	25	69
01A29224h:	00	AD	44	74
01A29225h:	00	DE	30	65
01A29226h:	00	EF	25	64
01A29227h:	00	BE	42	3A
01A29228h:	00	AD	35	20
01A2922Bh:	00	BE	31	30
01A2922Dh:	00	DE	38	41
01A2922Eh:	00	EF	32	31
01A29234h:	00	AD	41	32
01A2923Ah:	00	EF	30	35
01A2923Bh:	00	BE	40	25
01A2923Ch:	00	AD	66	44
01A2923Dh:	00	DE	69	31
01A2923Eh:	00	EF	6C	25
01A2923Fh:	00	BE	65	38
01A29240h:	00	AD	3A	32
01A29241h:	00	DE	2F	25
01A29242h:	00	EF	2F	44
01A29243h:	00	BE	2F	30
01A29244h:	00	AD	43	25
01A29245h:	00	DE	3A	42
01A29246h:	00	EF	2F	41
01A29247h:	00	BE	55	25
01A29248h:	00	AD	73	44
01A29249h:	00	DE	65	30
01A2924Ah:	00	EF	72	25
01A2924Bh:	00	BE	73	42
01A2924Ch:	00	AD	2F	30
01A2924Dh:	00	DE	25	40
01A2924Eh:	00	EF	44	66
01A2924Fh:	00	BE	30	69
01A29250h:	00	AD	25	6C
01A29251h:	00	DE	41	65
01A29252h:	00	EF	31	3A
01A29253h:	00	BE	25	2F
01A29254h:	00	AD	44	2F
01A29255h:	00	DE	30	2F
01A29256h:	00	EF	25	43
01A29257h:	00	BE	42	3A
01A29258h:	00	AD	32	2F
01A29259h:	00	DE	25	55
01A2925Ah:	00	EF	44	73
01A2925Bh:	00	BE	30	65
01A2925Ch:	00	AD	25	72
01A2925Dh:	00	DE	42	73
01A3BB96h:	31	32	6C	00
01A3BBA2h:	31	32	20	8D
01A3BBA4h:	31	32	20	00
01A3BBA8h:	31	32	65	00
01A3BBAFh:	32	31	74	00
01A3BBB5h:	31	32	28	00
01A3BBC3h:	31	32	30	00
01A3BBDEh:	31	32	41	00
01A3BBE7h:	31	32	6C	00
01A3BBEBh:	32	31	20	00
01A3BBEDh:	31	32	75	00
01A3BBF5h:	31	32	73	00
